"Plot Title:  20854927"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854927, SEN S/N: 20854927, LBL: AT)","RH, % (LGR S/N: 20854927, SEN S/N: 20854927, LBL: RH)","Coupler Detached (LGR S/N: 20854927)","Coupler Attached (LGR S/N: 20854927)","Host Connected (LGR S/N: 20854927)","Stopped (LGR S/N: 20854927)","End Of File (LGR S/N: 20854927)"
362,07.28.20 klo 12.30.00 ap.,21.683,49.524,,,,,
363,07.28.20 klo 01.00.00 ap.,21.726,49.548,,,,,
364,07.28.20 klo 01.30.00 ap.,21.683,49.670,,,,,
365,07.28.20 klo 02.00.00 ap.,21.769,49.670,,,,,
366,07.28.20 klo 02.30.00 ap.,21.769,49.744,,,,,
367,07.28.20 klo 03.00.00 ap.,21.812,49.792,,,,,
368,07.28.20 klo 03.30.00 ap.,21.855,49.817,,,,,
369,07.28.20 klo 04.00.00 ap.,21.812,49.866,,,,,
370,07.28.20 klo 04.30.00 ap.,21.898,49.939,,,,,
371,07.28.20 klo 05.00.00 ap.,21.898,49.963,,,,,
372,07.28.20 klo 05.30.00 ap.,21.898,50.012,,,,,
373,07.28.20 klo 06.00.00 ap.,21.941,50.061,,,,,
374,07.28.20 klo 06.30.00 ap.,21.941,50.085,,,,,
375,07.28.20 klo 07.00.00 ap.,21.941,50.085,,,,,
