"Plot Title:  20849268"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849268, SEN S/N: 20849268, LBL: AT)","RH, % (LGR S/N: 20849268, SEN S/N: 20849268, LBL: RH)","Coupler Detached (LGR S/N: 20849268)","Coupler Attached (LGR S/N: 20849268)","Host Connected (LGR S/N: 20849268)","Stopped (LGR S/N: 20849268)","End Of File (LGR S/N: 20849268)"
322,07.27.20 klo 04.30.00 ap.,21.083,48.571,,,,,
323,07.27.20 klo 05.00.00 ap.,21.126,48.596,,,,,
324,07.27.20 klo 05.30.00 ap.,21.126,48.620,,,,,
325,07.27.20 klo 06.00.00 ap.,21.169,48.669,,,,,
326,07.27.20 klo 06.30.00 ap.,21.211,48.694,,,,,
327,07.27.20 klo 07.00.00 ap.,21.169,48.767,,,,,
328,07.27.20 klo 07.30.00 ap.,21.211,48.791,,,,,
329,07.27.20 klo 08.00.00 ap.,21.211,48.816,,,,,
330,07.27.20 klo 08.30.00 ap.,21.254,48.889,,,,,
331,07.27.20 klo 09.00.00 ap.,21.254,48.840,,,,,
332,07.27.20 klo 09.30.00 ap.,21.254,48.913,,,,,
333,07.27.20 klo 10.00.00 ap.,21.254,48.962,,,,,
334,07.27.20 klo 10.30.00 ap.,21.254,49.011,,,,,
335,07.27.20 klo 11.00.00 ap.,21.254,49.035,,,,,
336,07.27.20 klo 11.30.00 ap.,21.254,49.084,,,,,
337,07.27.20 klo 12.00.00 ip.,21.254,49.158,,,,,
338,07.27.20 klo 12.30.00 ip.,21.254,49.133,,,,,
339,07.27.20 klo 01.00.00 ip.,21.254,49.133,,,,,
340,07.27.20 klo 01.30.00 ip.,21.211,49.182,,,,,
341,07.27.20 klo 02.00.00 ip.,21.211,49.133,,,,,
342,07.27.20 klo 02.30.00 ip.,21.211,49.182,,,,,
343,07.27.20 klo 03.00.00 ip.,21.211,49.158,,,,,
344,07.27.20 klo 03.30.00 ip.,21.211,49.158,,,,,
345,07.27.20 klo 04.00.00 ip.,21.254,49.182,,,,,
346,07.27.20 klo 04.30.00 ip.,21.254,49.206,,,,,
347,07.27.20 klo 05.00.00 ip.,21.211,49.231,,,,,
348,07.27.20 klo 05.30.00 ip.,21.211,49.158,,,,,
349,07.27.20 klo 06.00.00 ip.,21.254,49.206,,,,,
350,07.27.20 klo 06.30.00 ip.,21.254,49.182,,,,,
351,07.27.20 klo 07.00.00 ip.,21.211,49.158,,,,,
352,07.27.20 klo 07.30.00 ip.,21.254,49.182,,,,,
353,07.27.20 klo 08.00.00 ip.,21.297,49.133,,,,,
354,07.27.20 klo 08.30.00 ip.,21.297,49.109,,,,,
355,07.27.20 klo 09.00.00 ip.,21.340,49.109,,,,,
356,07.27.20 klo 09.30.00 ip.,21.383,49.109,,,,,
357,07.27.20 klo 10.00.00 ip.,21.426,49.109,,,,,
358,07.27.20 klo 10.30.00 ip.,21.469,49.133,,,,,
359,07.27.20 klo 11.00.00 ip.,21.512,49.158,,,,,
360,07.27.20 klo 11.30.00 ip.,21.555,49.158,,,,,
361,07.28.20 klo 12.00.00 ap.,21.598,49.158,,,,,
362,07.28.20 klo 12.30.00 ap.,21.640,49.182,,,,,
363,07.28.20 klo 01.00.00 ap.,21.683,49.231,,,,,
364,07.28.20 klo 01.30.00 ap.,21.726,49.231,,,,,
365,07.28.20 klo 02.00.00 ap.,21.726,49.231,,,,,
366,07.28.20 klo 02.30.00 ap.,21.769,49.280,,,,,
367,07.28.20 klo 03.00.00 ap.,21.812,49.304,,,,,
368,07.28.20 klo 03.30.00 ap.,21.812,49.328,,,,,
369,07.28.20 klo 04.00.00 ap.,21.812,49.328,,,,,
370,07.28.20 klo 04.30.00 ap.,21.855,49.377,,,,,
371,07.28.20 klo 05.00.00 ap.,21.898,49.426,,,,,
372,07.28.20 klo 05.30.00 ap.,21.898,49.402,,,,,
373,07.28.20 klo 06.00.00 ap.,21.898,49.426,,,,,
374,07.28.20 klo 06.30.00 ap.,21.941,49.451,,,,,
375,07.28.20 klo 07.00.00 ap.,21.898,49.475,,,,,
376,07.28.20 klo 07.30.00 ap.,21.941,49.499,,,,,
377,07.28.20 klo 08.00.00 ap.,21.941,49.573,,,,,
378,07.28.20 klo 08.30.00 ap.,21.941,49.573,,,,,
379,07.28.20 klo 09.00.00 ap.,21.984,49.573,,,,,
380,07.28.20 klo 09.30.00 ap.,21.941,49.573,,,,,
381,07.28.20 klo 10.00.00 ap.,21.941,49.573,,,,,
382,07.28.20 klo 10.30.00 ap.,21.941,49.670,,,,,
383,07.28.20 klo 11.00.00 ap.,21.941,49.695,,,,,
384,07.28.20 klo 11.30.00 ap.,21.941,49.670,,,,,
385,07.28.20 klo 12.00.00 ip.,21.941,49.695,,,,,
386,07.28.20 klo 12.30.00 ip.,21.898,49.744,,,,,
387,07.28.20 klo 01.00.00 ip.,21.898,49.744,,,,,
