"Plot Title:  20849236"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849236, SEN S/N: 20849236)","RH, % (LGR S/N: 20849236, SEN S/N: 20849236)","Coupler Detached (LGR S/N: 20849236)","Bad Battery (LGR S/N: 20849236)","Good Battery (LGR S/N: 20849236)","Coupler Attached (LGR S/N: 20849236)","Host Connected (LGR S/N: 20849236)","Stopped (LGR S/N: 20849236)","End Of File (LGR S/N: 20849236)"
184,08.20.20 klo 10.27.08 ap.,21.769,37.411,,,,,,,
185,08.20.20 klo 10.57.08 ap.,21.769,37.534,,,,,,,
186,08.20.20 klo 11.27.08 ap.,21.941,37.631,,,,,,,
187,08.20.20 klo 11.57.08 ap.,22.027,37.753,,,,,,,
188,08.20.20 klo 12.27.08 ip.,22.069,37.802,,,,,,,
189,08.20.20 klo 12.57.08 ip.,22.155,37.827,,,,,,,
190,08.20.20 klo 01.27.08 ip.,22.241,38.022,,,,,,,
191,08.20.20 klo 01.57.08 ip.,22.284,38.242,,,,,,,
192,08.20.20 klo 02.27.08 ip.,22.284,38.339,,,,,,,
193,08.20.20 klo 02.57.08 ip.,22.327,38.486,,,,,,,
194,08.20.20 klo 03.27.08 ip.,22.241,38.730,,,,,,,
195,08.20.20 klo 03.57.08 ip.,22.241,38.706,,,,,,,
196,08.20.20 klo 04.27.08 ip.,22.198,38.828,,,,,,,
197,08.20.20 klo 04.57.08 ip.,22.198,38.632,,,,,,,
198,08.20.20 klo 05.27.08 ip.,22.327,38.486,,,,,,,
199,08.20.20 klo 05.57.08 ip.,22.370,38.413,,,,,,,
200,08.20.20 klo 06.27.08 ip.,22.456,38.193,,,,,,,
201,08.20.20 klo 06.57.08 ip.,22.413,38.120,,,,,,,
202,08.20.20 klo 07.27.08 ip.,22.370,38.193,,,,,,,
203,08.20.20 klo 07.57.08 ip.,22.413,38.193,,,,,,,
204,08.20.20 klo 08.27.08 ip.,22.370,38.120,,,,,,,
205,08.20.20 klo 08.57.08 ip.,22.370,38.022,,,,,,,
206,08.20.20 klo 09.27.08 ip.,22.370,38.095,,,,,,,
207,08.20.20 klo 09.57.08 ip.,22.370,37.851,,,,,,,
208,08.20.20 klo 10.27.08 ip.,22.327,37.851,,,,,,,
209,08.20.20 klo 10.57.08 ip.,22.370,37.753,,,,,,,
210,08.20.20 klo 11.27.08 ip.,21.984,37.509,,,,,,,
211,08.20.20 klo 11.57.08 ip.,22.069,37.436,,,,,,,
212,08.21.20 klo 12.27.08 ap.,22.027,37.460,,,,,,,
213,08.21.20 klo 12.57.08 ap.,21.941,37.411,,,,,,,
214,08.21.20 klo 01.27.08 ap.,21.898,37.436,,,,,,,
215,08.21.20 klo 01.57.08 ap.,21.855,37.338,,,,,,,
216,08.21.20 klo 02.27.08 ap.,21.812,37.387,,,,,,,
217,08.21.20 klo 02.57.08 ap.,21.812,37.118,,,,,,,
218,08.21.20 klo 03.27.08 ap.,21.812,37.143,,,,,,,
219,08.21.20 klo 03.57.08 ap.,21.726,37.118,,,,,,,
220,08.21.20 klo 04.27.08 ap.,21.726,37.070,,,,,,,
221,08.21.20 klo 04.57.08 ap.,21.683,36.947,,,,,,,
222,08.21.20 klo 05.27.08 ap.,21.640,36.899,,,,,,,
223,08.21.20 klo 05.57.08 ap.,21.640,36.777,,,,,,,
224,08.21.20 klo 06.27.08 ap.,21.640,36.728,,,,,,,
225,08.21.20 klo 06.57.08 ap.,21.640,36.630,,,,,,,
226,08.21.20 klo 07.27.08 ap.,21.640,36.654,,,,,,,
227,08.21.20 klo 07.57.08 ap.,21.640,36.728,,,,,,,
228,08.21.20 klo 08.27.08 ap.,21.640,36.752,,,,,,,
229,08.21.20 klo 08.57.08 ap.,21.640,36.801,,,,,,,
230,08.21.20 klo 09.27.08 ap.,21.640,36.923,,,,,,,
231,08.21.20 klo 09.57.08 ap.,21.726,37.216,,,,,,,
232,08.21.20 klo 10.27.08 ap.,21.769,37.338,,,,,,,
233,08.21.20 klo 10.57.08 ap.,21.855,37.387,,,,,,,
234,08.21.20 klo 11.27.08 ap.,21.941,37.338,,,,,,,
235,08.21.20 klo 11.57.08 ap.,21.898,37.485,,,,,,,
236,08.21.20 klo 12.27.08 ip.,21.984,37.607,,,,,,,
237,08.21.20 klo 12.57.08 ip.,21.898,37.656,,,,,,,
238,08.21.20 klo 01.27.08 ip.,21.898,37.900,,,,,,,
239,08.21.20 klo 01.57.08 ip.,21.941,38.120,,,,,,,
240,08.21.20 klo 02.27.08 ip.,21.941,37.949,,,,,,,
241,08.21.20 klo 02.57.08 ip.,21.984,38.291,,,,,,,
242,08.21.20 klo 03.27.08 ip.,22.112,38.779,,,,,,,
243,08.21.20 klo 03.57.08 ip.,22.112,38.413,,,,,,,
244,08.21.20 klo 04.27.08 ip.,22.155,38.608,,,,,,,
245,08.21.20 klo 04.57.08 ip.,22.155,38.364,,,,,,,
246,08.21.20 klo 05.27.08 ip.,22.155,38.364,,,,,,,
247,08.21.20 klo 05.57.08 ip.,22.241,38.608,,,,,,,
248,08.21.20 klo 06.27.08 ip.,22.284,38.486,,,,,,,
249,08.21.20 klo 06.57.08 ip.,22.241,38.486,,,,,,,
250,08.21.20 klo 07.27.08 ip.,22.198,38.339,,,,,,,
251,08.21.20 klo 07.57.08 ip.,22.198,38.950,,,,,,,
252,08.21.20 klo 08.27.08 ip.,22.155,38.950,,,,,,,
253,08.21.20 klo 08.57.08 ip.,22.112,39.121,,,,,,,
254,08.21.20 klo 09.27.08 ip.,22.069,39.365,,,,,,,
255,08.21.20 klo 09.57.08 ip.,22.027,39.292,,,,,,,
256,08.21.20 klo 10.27.08 ip.,22.027,39.365,,,,,,,
257,08.21.20 klo 10.57.08 ip.,22.027,39.341,,,,,,,
