"Plot Title:  20849263"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849263, SEN S/N: 20849263, LBL: AT)","RH, % (LGR S/N: 20849263, SEN S/N: 20849263, LBL: RH)","Coupler Detached (LGR S/N: 20849263)","Bad Battery (LGR S/N: 20849263)","Good Battery (LGR S/N: 20849263)","Coupler Attached (LGR S/N: 20849263)","Host Connected (LGR S/N: 20849263)","Stopped (LGR S/N: 20849263)","End Of File (LGR S/N: 20849263)"
228,07.17.20 klo 05.30.00 ap.,14.905,47.228,,,,,,,
229,07.17.20 klo 06.00.00 ap.,14.433,46.911,,,,,,,
230,07.17.20 klo 06.30.00 ap.,14.047,46.593,,,,,,,
231,07.17.20 klo 07.00.00 ap.,13.661,46.471,,,,,,,
232,07.17.20 klo 07.30.00 ap.,13.489,46.374,,,,,,,
233,07.17.20 klo 08.00.00 ap.,13.361,46.496,,,,,,,
234,07.17.20 klo 08.30.00 ap.,13.404,46.764,,,,,,,
235,07.17.20 klo 09.00.00 ap.,13.575,47.302,,,,,,,
236,07.17.20 klo 09.30.00 ap.,14.004,48.156,,,,,,,
237,07.17.20 klo 10.00.00 ap.,14.519,49.304,,,,,,,
238,07.17.20 klo 10.30.00 ap.,15.120,50.769,,,,,,,
239,07.17.20 klo 11.00.00 ap.,15.849,52.283,,,,,,,
240,07.17.20 klo 11.30.00 ap.,16.621,53.675,,,,,,,
241,07.17.20 klo 12.00.00 ip.,17.350,54.994,,,,,,,
242,07.17.20 klo 12.30.00 ip.,18.080,56.215,,,,,,,
243,07.17.20 klo 01.00.00 ip.,18.723,57.094,,,,,,,
244,07.17.20 klo 01.30.00 ip.,19.281,57.924,,,,,,,
245,07.17.20 klo 02.00.00 ip.,19.882,58.974,,,,,,,
246,07.17.20 klo 02.30.00 ip.,20.525,59.853,,,,,,,
247,07.17.20 klo 03.00.00 ip.,21.169,60.440,,,,,,,
248,07.17.20 klo 03.30.00 ip.,21.812,61.099,,,,,,,
249,07.17.20 klo 04.00.00 ip.,22.370,61.563,,,,,,,
250,07.17.20 klo 04.30.00 ip.,22.970,62.051,,,,,,,
251,07.17.20 klo 05.00.00 ip.,23.571,62.491,,,,,,,
252,07.17.20 klo 05.30.00 ip.,24.214,62.808,,,,,,,
253,07.17.20 klo 06.00.00 ip.,24.772,63.053,,,,,,,
254,07.17.20 klo 06.30.00 ip.,25.244,63.077,,,,,,,
255,07.17.20 klo 07.00.00 ip.,25.673,63.028,,,,,,,
256,07.17.20 klo 07.30.00 ip.,26.016,62.808,,,,,,,
257,07.17.20 klo 08.00.00 ip.,26.274,62.271,,,,,,,
258,07.17.20 klo 08.30.00 ip.,26.360,61.661,,,,,,,
259,07.17.20 klo 09.00.00 ip.,26.317,60.977,,,,,,,
260,07.17.20 klo 09.30.00 ip.,26.274,60.220,,,,,,,
261,07.17.20 klo 10.00.00 ip.,26.059,59.438,,,,,,,
262,07.17.20 klo 10.30.00 ip.,25.759,58.681,,,,,,,
263,07.17.20 klo 11.00.00 ip.,25.416,57.851,,,,,,,
264,07.17.20 klo 11.30.00 ip.,25.030,56.972,,,,,,,
265,07.18.20 klo 12.00.00 ap.,24.515,56.068,,,,,,,
266,07.18.20 klo 12.30.00 ap.,23.914,55.238,,,,,,,
267,07.18.20 klo 01.00.00 ap.,23.314,54.335,,,,,,,
268,07.18.20 klo 01.30.00 ap.,22.713,53.504,,,,,,,
269,07.18.20 klo 02.00.00 ap.,22.027,52.674,,,,,,,
270,07.18.20 klo 02.30.00 ap.,21.340,51.819,,,,,,,
271,07.18.20 klo 03.00.00 ap.,20.654,51.038,,,,,,,
272,07.18.20 klo 03.30.00 ap.,19.967,50.305,,,,,,,
273,07.18.20 klo 04.00.00 ap.,19.324,49.621,,,,,,,
274,07.18.20 klo 04.30.00 ap.,18.680,48.987,,,,,,,
275,07.18.20 klo 05.00.00 ap.,18.080,48.376,,,,,,,
276,07.18.20 klo 05.30.00 ap.,17.565,47.961,,,,,,,
277,07.18.20 klo 06.00.00 ap.,17.050,47.570,,,,,,,
278,07.18.20 klo 06.30.00 ap.,16.578,47.302,,,,,,,
279,07.18.20 klo 07.00.00 ap.,16.278,47.082,,,,,,,
280,07.18.20 klo 07.30.00 ap.,16.021,47.009,,,,,,,
281,07.18.20 klo 08.00.00 ap.,15.892,46.984,,,,,,,
282,07.18.20 klo 08.30.00 ap.,15.849,47.131,,,,,,,
283,07.18.20 klo 09.00.00 ap.,15.806,47.302,,,,,,,
284,07.18.20 klo 09.30.00 ap.,15.978,47.570,,,,,,,
285,07.18.20 klo 10.00.00 ap.,16.192,47.888,,,,,,,
