"Plot Title: 20854946"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854946, SEN S/N: 20854946, LBL: AT)","RH, % (LGR S/N: 20854946, SEN S/N: 20854946, LBL: RH)","Coupler Detached (LGR S/N: 20854946)","Coupler Attached (LGR S/N: 20854946)","Host Connected (LGR S/N: 20854946)","Stopped (LGR S/N: 20854946)","End Of File (LGR S/N: 20854946)"
232,07.25.20 klo 07.30.00 ap.,21.211,50.891,,,,,
233,07.25.20 klo 08.00.00 ap.,21.211,50.867,,,,,
234,07.25.20 klo 08.30.00 ap.,21.211,50.794,,,,,
235,07.25.20 klo 09.00.00 ap.,21.169,50.696,,,,,
236,07.25.20 klo 09.30.00 ap.,21.211,50.623,,,,,
237,07.25.20 klo 10.00.00 ap.,21.211,50.501,,,,,
238,07.25.20 klo 10.30.00 ap.,21.126,50.354,,,,,
239,07.25.20 klo 11.00.00 ap.,21.169,50.305,,,,,
240,07.25.20 klo 11.30.00 ap.,21.211,50.208,,,,,
241,07.25.20 klo 12.00.00 ip.,21.126,50.012,,,,,
242,07.25.20 klo 12.30.00 ip.,21.126,49.817,,,,,
243,07.25.20 klo 01.00.00 ip.,21.040,49.597,,,,,
244,07.25.20 klo 01.30.00 ip.,21.040,49.328,,,,,
245,07.25.20 klo 02.00.00 ip.,20.954,49.060,,,,,
246,07.25.20 klo 02.30.00 ip.,20.954,48.889,,,,,
247,07.25.20 klo 03.00.00 ip.,20.954,48.620,,,,,
248,07.25.20 klo 03.30.00 ip.,20.911,48.474,,,,,
249,07.25.20 klo 04.00.00 ip.,20.911,48.230,,,,,
250,07.25.20 klo 04.30.00 ip.,20.911,48.059,,,,,
251,07.25.20 klo 05.00.00 ip.,20.911,47.961,,,,,
252,07.25.20 klo 05.30.00 ip.,20.868,47.790,,,,,
253,07.25.20 klo 06.00.00 ip.,20.911,47.741,,,,,
254,07.25.20 klo 06.30.00 ip.,20.911,47.692,,,,,
255,07.25.20 klo 07.00.00 ip.,20.911,47.668,,,,,
256,07.25.20 klo 07.30.00 ip.,20.911,47.570,,,,,
257,07.25.20 klo 08.00.00 ip.,20.911,47.546,,,,,
258,07.25.20 klo 08.30.00 ip.,20.911,47.595,,,,,
259,07.25.20 klo 09.00.00 ip.,20.868,47.546,,,,,
260,07.25.20 klo 09.30.00 ip.,20.782,47.546,,,,,
261,07.25.20 klo 10.00.00 ip.,20.782,47.643,,,,,
262,07.25.20 klo 10.30.00 ip.,20.782,47.717,,,,,
263,07.25.20 klo 11.00.00 ip.,20.782,47.814,,,,,
264,07.25.20 klo 11.30.00 ip.,20.782,47.888,,,,,
265,07.26.20 klo 12.00.00 ap.,20.782,47.912,,,,,
266,07.26.20 klo 12.30.00 ap.,20.782,47.912,,,,,
267,07.26.20 klo 01.00.00 ap.,20.782,47.937,,,,,
268,07.26.20 klo 01.30.00 ap.,20.825,47.961,,,,,
269,07.26.20 klo 02.00.00 ap.,20.868,47.961,,,,,
270,07.26.20 klo 02.30.00 ap.,20.911,48.083,,,,,
271,07.26.20 klo 03.00.00 ap.,20.954,48.156,,,,,
272,07.26.20 klo 03.30.00 ap.,20.954,48.254,,,,,
273,07.26.20 klo 04.00.00 ap.,20.997,48.303,,,,,
274,07.26.20 klo 04.30.00 ap.,20.997,48.352,,,,,
