"Plot Title:  20849239"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849239, SEN S/N: 20849239)","RH, % (LGR S/N: 20849239, SEN S/N: 20849239)","Coupler Detached (LGR S/N: 20849239)","Bad Battery (LGR S/N: 20849239)","Coupler Attached (LGR S/N: 20849239)","Host Connected (LGR S/N: 20849239)","Stopped (LGR S/N: 20849239)","End Of File (LGR S/N: 20849239)"
6503,12.30.20 klo 02.03.22 ap.,0.448,91.062,,,,,,
6504,12.30.20 klo 02.33.22 ap.,0.190,93.944,,,,,,
6505,12.30.20 klo 03.03.22 ap.,-0.110,95.018,,,,,,
6506,12.30.20 klo 03.33.22 ap.,0.147,94.408,,,,,,
6507,12.30.20 klo 04.03.22 ap.,0.448,93.016,,,,,,
6508,12.30.20 klo 04.33.22 ap.,0.533,93.626,,,,,,
6509,12.30.20 klo 05.03.22 ap.,0.104,96.313,,,,,,
6510,12.30.20 klo 05.33.22 ap.,0.276,97.314,,,,,,
6511,12.30.20 klo 06.03.22 ap.,0.533,96.777,,,,,,
6512,12.30.20 klo 06.33.22 ap.,0.448,98.168,,,,,,
6513,12.30.20 klo 07.03.22 ap.,0.705,97.680,,,,,,
6514,12.30.20 klo 07.33.22 ap.,0.619,98.437,,,,,,
6515,12.30.20 klo 08.03.22 ap.,1.048,96.117,,,,,,
6516,12.30.20 klo 08.33.22 ap.,0.877,96.020,,,,,,
6517,12.30.20 klo 09.03.22 ap.,0.877,96.606,,,,,,
6518,12.30.20 klo 09.33.22 ap.,0.920,96.508,,,,,,
6519,12.30.20 klo 10.03.22 ap.,1.005,96.068,,,,,,
6520,12.30.20 klo 10.33.22 ap.,0.877,96.410,,,,,,
6521,12.30.20 klo 11.03.22 ap.,0.233,98.974,,,,,,
6522,12.30.20 klo 11.33.22 ap.,-0.196,100.000,,,,,,
6523,12.30.20 klo 12.03.22 ip.,-0.410,100.000,,,,,,
6524,12.30.20 klo 12.33.22 ip.,-0.496,100.000,,,,,,
6525,12.30.20 klo 01.03.22 ip.,-0.625,100.000,,,,,,
6526,12.30.20 klo 01.33.22 ip.,-0.882,100.000,,,,,,
6527,12.30.20 klo 02.03.22 ip.,-1.225,100.000,,,,,,
6528,12.30.20 klo 02.33.22 ip.,-2.470,100.000,,,,,,
6529,12.30.20 klo 03.03.22 ip.,-2.512,100.000,,,,,,
6530,12.30.20 klo 03.33.22 ip.,-2.427,97.534,,,,,,
6531,12.30.20 klo 04.03.22 ip.,-2.255,95.775,,,,,,
6532,12.30.20 klo 04.33.22 ip.,-1.311,91.697,,,,,,
6533,12.30.20 klo 05.03.22 ip.,-0.582,87.619,,,,,,
6534,12.30.20 klo 05.33.22 ip.,-0.625,93.895,,,,,,
6535,12.30.20 klo 06.03.22 ip.,-0.754,86.642,,,,,,
6536,12.30.20 klo 06.33.22 ip.,2.035,68.596,,,,,,
6537,12.30.20 klo 07.03.22 ip.,2.164,58.877,,,,,,
6538,12.30.20 klo 07.33.22 ip.,1.391,63.883,,,,,,
6539,12.30.20 klo 08.03.22 ip.,3.022,54.042,,,,,,
6540,12.30.20 klo 08.33.22 ip.,1.349,59.780,,,,,,
6541,12.30.20 klo 09.03.22 ip.,3.966,55.946,,,,,,
6542,12.30.20 klo 09.33.22 ip.,1.949,55.849,,,,,,
6543,12.30.20 klo 10.03.22 ip.,4.008,50.891,,,,,,
6544,12.30.20 klo 10.33.22 ip.,5.596,43.932,,,,,,
6545,12.30.20 klo 11.03.22 ip.,5.896,45.519,,,,,,
6546,12.30.20 klo 11.33.22 ip.,4.180,45.812,,,,,,
6547,12.31.20 klo 12.03.22 ap.,5.467,44.322,,,,,,
6548,12.31.20 klo 12.33.22 ap.,4.266,45.861,,,,,,
6549,12.31.20 klo 01.03.22 ap.,3.923,46.984,,,,,,
6550,12.31.20 klo 01.33.22 ap.,1.606,55.043,,,,,,
6551,12.31.20 klo 02.03.22 ap.,-0.067,58.413,,,,,,
6552,12.31.20 klo 02.33.22 ap.,0.705,59.096,,,,,,
6553,12.31.20 klo 03.03.22 ap.,-2.941,71.600,,,,,,
6554,12.31.20 klo 03.33.22 ap.,-3.628,75.751,,,,,,
6555,12.31.20 klo 04.03.22 ap.,-4.958,79.121,,,,,,
6556,12.31.20 klo 04.33.22 ap.,-4.743,79.096,,,,,,
6557,12.31.20 klo 05.03.22 ap.,-7.703,83.028,,,,,,
6558,12.31.20 klo 05.33.22 ap.,-4.357,78.095,,,,,,
6559,12.31.20 klo 06.03.22 ap.,-5.515,81.832,,,,,,
6560,12.31.20 klo 06.33.22 ap.,-4.271,79.976,,,,,,
6561,12.31.20 klo 07.03.22 ap.,-4.786,80.904,,,,,,
6562,12.31.20 klo 07.33.22 ap.,-3.199,78.974,,,,,,
6563,12.31.20 klo 08.03.22 ap.,-2.555,76.801,,,,,,
6564,12.31.20 klo 08.33.22 ap.,-2.255,79.292,,,,,,
6565,12.31.20 klo 09.03.22 ap.,-1.912,77.851,,,,,,
6566,12.31.20 klo 09.33.22 ap.,-2.212,81.832,,,,,,
6567,12.31.20 klo 10.03.22 ap.,-1.998,82.247,,,,,,
6568,12.31.20 klo 10.33.22 ap.,-1.654,84.689,,,,,,
6569,12.31.20 klo 11.03.22 ap.,-1.354,90.256,,,,,,
6570,12.31.20 klo 11.33.22 ap.,-1.011,92.552,,,,,,
6571,12.31.20 klo 12.03.22 ip.,-0.796,96.190,,,,,,
6572,12.31.20 klo 12.33.22 ip.,-0.367,98.046,,,,,,
6573,12.31.20 klo 01.03.22 ip.,-0.239,98.779,,,,,,
6574,12.31.20 klo 01.33.22 ip.,-0.282,100.000,,,,,,
6575,12.31.20 klo 02.03.22 ip.,-0.582,96.166,,,,,,
6576,12.31.20 klo 02.33.22 ip.,-0.882,87.106,,,,,,
6577,12.31.20 klo 03.03.22 ip.,-0.968,89.646,,,,,,
6578,12.31.20 klo 03.33.22 ip.,-1.225,85.763,,,,,,
6579,12.31.20 klo 04.03.22 ip.,-1.268,82.930,,,,,,
6580,12.31.20 klo 04.33.22 ip.,-1.440,81.905,,,,,,
6581,12.31.20 klo 05.03.22 ip.,-1.140,80.244,,,,,,
6582,12.31.20 klo 05.33.22 ip.,0.276,76.459,,,,,,
6583,12.31.20 klo 06.03.22 ip.,0.190,76.557,,,,,,
6584,12.31.20 klo 06.33.22 ip.,0.748,74.774,,,,,,
6585,12.31.20 klo 07.03.22 ip.,3.065,67.228,,,,,,
6586,12.31.20 klo 07.33.22 ip.,0.920,75.018,,,,,,
6587,12.31.20 klo 08.03.22 ip.,1.048,76.044,,,,,,
6588,12.31.20 klo 08.33.22 ip.,2.335,71.258,,,,,,
6589,12.31.20 klo 09.03.22 ip.,5.424,61.441,,,,,,
6590,12.31.20 klo 09.33.22 ip.,7.355,50.549,,,,,,
6591,12.31.20 klo 10.03.22 ip.,6.153,58.584,,,,,,
6592,12.31.20 klo 10.33.22 ip.,2.679,70.085,,,,,,
6593,12.31.20 klo 11.03.22 ip.,0.533,80.366,,,,,,
6594,12.31.20 klo 11.33.22 ip.,-0.110,82.393,,,,,,
6595,01.01.21 klo 12.03.22 ap.,-0.239,84.371,,,,,,
6596,01.01.21 klo 12.33.22 ap.,-0.110,82.711,,,,,,
6597,01.01.21 klo 01.03.22 ap.,-0.110,82.784,,,,,,
6598,01.01.21 klo 01.33.22 ap.,0.233,82.369,,,,,,
6599,01.01.21 klo 02.03.22 ap.,-0.796,88.034,,,,,,
6600,01.01.21 klo 02.33.22 ap.,-1.054,89.695,,,,,,
6601,01.01.21 klo 03.03.22 ap.,-1.225,90.916,,,,,,
6602,01.01.21 klo 03.33.22 ap.,-1.311,90.427,,,,,,
6603,01.01.21 klo 04.03.22 ap.,-1.440,91.087,,,,,,
6604,01.01.21 klo 04.33.22 ap.,-1.440,91.941,,,,,,
6605,01.01.21 klo 05.03.22 ap.,-1.440,90.989,,,,,,
6606,01.01.21 klo 05.33.22 ap.,-1.612,88.010,,,,,,
6607,01.01.21 klo 06.03.22 ap.,-1.740,88.840,,,,,,
6608,01.01.21 klo 06.33.22 ap.,-1.612,88.205,,,,,,
6609,01.01.21 klo 07.03.22 ap.,-1.740,88.571,,,,,,
6610,01.01.21 klo 07.33.22 ap.,-1.998,89.866,,,,,,
6611,01.01.21 klo 08.03.22 ap.,-2.255,93.016,,,,,,
6612,01.01.21 klo 08.33.22 ap.,-2.813,93.602,,,,,,
6613,01.01.21 klo 09.03.22 ap.,-4.057,94.335,,,,,,
6614,01.01.21 klo 09.33.22 ap.,-3.542,95.849,,,,,,
6615,01.01.21 klo 10.03.22 ap.,-3.328,96.386,,,,,,
6616,01.01.21 klo 10.33.22 ap.,-5.601,93.700,,,,,,
6617,01.01.21 klo 11.03.22 ap.,-4.228,87.155,,,,,,
6618,01.01.21 klo 11.33.22 ap.,-3.671,88.400,,,,,,
6619,01.01.21 klo 12.03.22 ip.,-4.615,88.327,,,,,,
6620,01.01.21 klo 12.33.22 ip.,-6.116,87.643,,,,,,
6621,01.01.21 klo 01.03.22 ip.,-0.196,72.796,,,,,,
6622,01.01.21 klo 01.33.22 ip.,-1.268,78.437,,,,,,
6623,01.01.21 klo 02.03.22 ip.,-0.024,72.796,,,,,,
6624,01.01.21 klo 02.33.22 ip.,1.520,71.697,,,,,,
6625,01.01.21 klo 03.03.22 ip.,4.480,64.347,,,,,,
6626,01.01.21 klo 03.33.22 ip.,6.196,54.188,,,,,,
6627,01.01.21 klo 04.03.22 ip.,4.695,59.951,,,,,,
6628,01.01.21 klo 04.33.22 ip.,6.068,58.413,,,,,,
6629,01.01.21 klo 05.03.22 ip.,6.239,54.701,,,,,,
6630,01.01.21 klo 05.33.22 ip.,7.483,53.114,,,,,,
6631,01.01.21 klo 06.03.22 ip.,5.124,59.805,,,,,,
6632,01.01.21 klo 06.33.22 ip.,3.279,72.186,,,,,,
6633,01.01.21 klo 07.03.22 ip.,5.982,59.023,,,,,,
6634,01.01.21 klo 07.33.22 ip.,4.952,66.178,,,,,,
6635,01.01.21 klo 08.03.22 ip.,3.494,68.767,,,,,,
6636,01.01.21 klo 08.33.22 ip.,5.124,63.736,,,,,,
6637,01.01.21 klo 09.03.22 ip.,3.579,70.281,,,,,,
6638,01.01.21 klo 09.33.22 ip.,1.477,78.095,,,,,,
6639,01.01.21 klo 10.03.22 ip.,1.134,78.462,,,,,,
6640,01.01.21 klo 10.33.22 ip.,0.319,82.125,,,,,,
6641,01.01.21 klo 11.03.22 ip.,0.233,90.476,,,,,,
6642,01.01.21 klo 11.33.22 ip.,-0.325,93.260,,,,,,
6643,01.02.21 klo 12.03.22 ap.,-0.796,94.090,,,,,,
6644,01.02.21 klo 12.33.22 ap.,-1.569,90.403,,,,,,
6645,01.02.21 klo 01.03.22 ap.,-1.654,87.057,,,,,,
6646,01.02.21 klo 01.33.22 ap.,-1.483,89.621,,,,,,
6647,01.02.21 klo 02.03.22 ap.,-0.925,90.281,,,,,,
6648,01.02.21 klo 02.33.22 ap.,-2.041,89.060,,,,,,
6649,01.02.21 klo 03.03.22 ap.,-2.083,89.304,,,,,,
6650,01.02.21 klo 03.33.22 ap.,-1.955,88.767,,,,,,
6651,01.02.21 klo 04.03.22 ap.,-1.998,87.155,,,,,,
6652,01.02.21 klo 04.33.22 ap.,-1.697,89.719,,,,,,
6653,01.02.21 klo 05.03.22 ap.,-1.483,88.962,,,,,,
6654,01.02.21 klo 05.33.22 ap.,-1.869,90.989,,,,,,
6655,01.02.21 klo 06.03.22 ap.,-1.998,91.429,,,,,,
6656,01.02.21 klo 06.33.22 ap.,-1.483,91.136,,,,,,
6657,01.02.21 klo 07.03.22 ap.,-1.225,93.187,,,,,,
6658,01.02.21 klo 07.33.22 ap.,-1.140,88.254,,,,,,
6659,01.02.21 klo 08.03.22 ap.,-1.397,90.867,,,,,,
6660,01.02.21 klo 08.33.22 ap.,-1.740,89.597,,,,,,
6661,01.02.21 klo 09.03.22 ap.,-1.526,90.208,,,,,,
6662,01.02.21 klo 09.33.22 ap.,-1.268,88.962,,,,,,
6663,01.02.21 klo 10.03.22 ap.,-1.097,90.647,,,,,,
6664,01.02.21 klo 10.33.22 ap.,-1.440,89.988,,,,,,
6665,01.02.21 klo 11.03.22 ap.,-1.140,89.060,,,,,,
6666,01.02.21 klo 11.33.22 ap.,-0.625,89.206,,,,,,
6667,01.02.21 klo 12.03.22 ip.,0.062,83.150,,,,,,
6668,01.02.21 klo 12.33.22 ip.,-1.140,85.470,,,,,,
6669,01.02.21 klo 01.03.22 ip.,1.220,78.755,,,,,,
6670,01.02.21 klo 01.33.22 ip.,0.533,81.929,,,,,,
6671,01.02.21 klo 02.03.22 ip.,1.477,74.432,,,,,,
6672,01.02.21 klo 02.33.22 ip.,2.249,73.700,,,,,,
6673,01.02.21 klo 03.03.22 ip.,3.923,67.863,,,,,,
6674,01.02.21 klo 03.33.22 ip.,1.735,77.363,,,,,,
6675,01.02.21 klo 04.03.22 ip.,0.705,79.634,,,,,,
6676,01.02.21 klo 04.33.22 ip.,0.533,78.926,,,,,,
6677,01.02.21 klo 05.03.22 ip.,3.880,66.007,,,,,,
6678,01.02.21 klo 05.33.22 ip.,5.295,59.219,,,,,,
6679,01.02.21 klo 06.03.22 ip.,6.368,55.238,,,,,,
6680,01.02.21 klo 06.33.22 ip.,3.494,68.034,,,,,,
6681,01.02.21 klo 07.03.22 ip.,2.636,72.357,,,,,,
6682,01.02.21 klo 07.33.22 ip.,2.979,70.965,,,,,,
6683,01.02.21 klo 08.03.22 ip.,1.863,74.481,,,,,,
6684,01.02.21 klo 08.33.22 ip.,2.207,73.578,,,,,,
6685,01.02.21 klo 09.03.22 ip.,1.820,73.700,,,,,,
6686,01.02.21 klo 09.33.22 ip.,0.619,75.800,,,,,,
6687,01.02.21 klo 10.03.22 ip.,-1.526,82.393,,,,,,
6688,01.02.21 klo 10.33.22 ip.,-0.925,78.974,,,,,,
6689,01.02.21 klo 11.03.22 ip.,-2.512,85.006,,,,,,
6690,01.02.21 klo 11.33.22 ip.,-3.113,86.032,,,,,,
6691,01.03.21 klo 12.03.22 ap.,-2.941,84.200,,,,,,
6692,01.03.21 klo 12.33.22 ap.,-3.285,86.911,,,,,,
6693,01.03.21 klo 01.03.22 ap.,-3.242,88.230,,,,,,
6694,01.03.21 klo 01.33.22 ap.,-3.542,87.570,,,,,,
6695,01.03.21 klo 02.03.22 ap.,-3.842,86.227,,,,,,
6696,01.03.21 klo 02.33.22 ap.,-3.885,86.105,,,,,,
6697,01.03.21 klo 03.03.22 ap.,-4.443,85.861,,,,,,
6698,01.03.21 klo 03.33.22 ap.,-4.357,86.007,,,,,,
6699,01.03.21 klo 04.03.22 ap.,-4.186,84.591,,,,,,
6700,01.03.21 klo 04.33.22 ap.,-4.443,86.496,,,,,,
6701,01.03.21 klo 05.03.22 ap.,-3.757,79.658,,,,,,
6702,01.03.21 klo 05.33.22 ap.,-3.671,81.099,,,,,,
6703,01.03.21 klo 06.03.22 ap.,-3.628,84.078,,,,,,
6704,01.03.21 klo 06.33.22 ap.,-3.413,83.053,,,,,,
6705,01.03.21 klo 07.03.22 ap.,-3.757,87.546,,,,,,
6706,01.03.21 klo 07.33.22 ap.,-4.443,83.272,,,,,,
6707,01.03.21 klo 08.03.22 ap.,-4.615,89.328,,,,,,
6708,01.03.21 klo 08.33.22 ap.,-4.057,88.132,,,,,,
6709,01.03.21 klo 09.03.22 ap.,-4.743,87.619,,,,,,
6710,01.03.21 klo 09.33.22 ap.,-5.001,87.179,,,,,,
6711,01.03.21 klo 10.03.22 ap.,-4.743,85.421,,,,,,
6712,01.03.21 klo 10.33.22 ap.,-4.743,84.860,,,,,,
6713,01.03.21 klo 11.03.22 ap.,-4.357,83.712,,,,,,
6714,01.03.21 klo 11.33.22 ap.,-3.242,79.389,,,,,,
6715,01.03.21 klo 12.03.22 ip.,-2.641,77.094,,,,,,
6716,01.03.21 klo 12.33.22 ip.,1.048,69.011,,,,,,
6717,01.03.21 klo 01.03.22 ip.,1.434,68.840,,,,,,
6718,01.03.21 klo 01.33.22 ip.,-1.955,79.389,,,,,,
6719,01.03.21 klo 02.03.22 ip.,2.593,66.764,,,,,,
6720,01.03.21 klo 02.33.22 ip.,3.665,59.805,,,,,,
6721,01.03.21 klo 03.03.22 ip.,1.263,67.253,,,,,,
6722,01.03.21 klo 03.33.22 ip.,1.134,66.935,,,,,,
6723,01.03.21 klo 04.03.22 ip.,0.619,68.474,,,,,,
6724,01.03.21 klo 04.33.22 ip.,1.263,67.253,,,,,,
6725,01.03.21 klo 05.03.22 ip.,1.563,64.640,,,,,,
6726,01.03.21 klo 05.33.22 ip.,0.877,67.302,,,,,,
6727,01.03.21 klo 06.03.22 ip.,0.448,71.184,,,,,,
6728,01.03.21 klo 06.33.22 ip.,1.134,66.129,,,,,,
6729,01.03.21 klo 07.03.22 ip.,1.606,63.834,,,,,,
6730,01.03.21 klo 07.33.22 ip.,1.692,65.885,,,,,,
6731,01.03.21 klo 08.03.22 ip.,0.834,70.281,,,,,,
6732,01.03.21 klo 08.33.22 ip.,0.319,74.408,,,,,,
6733,01.03.21 klo 09.03.22 ip.,-0.625,82.735,,,,,,
6734,01.03.21 klo 09.33.22 ip.,-0.968,85.788,,,,,,
6735,01.03.21 klo 10.03.22 ip.,-1.483,87.497,,,,,,
6736,01.03.21 klo 10.33.22 ip.,-2.212,90.427,,,,,,
6737,01.03.21 klo 11.03.22 ip.,-2.684,93.065,,,,,,
6738,01.03.21 klo 11.33.22 ip.,-2.984,94.310,,,,,,
6739,01.04.21 klo 12.03.22 ap.,-4.700,95.580,,,,,,
6740,01.04.21 klo 12.33.22 ap.,-4.700,97.485,,,,,,
6741,01.04.21 klo 01.03.22 ap.,-4.186,97.265,,,,,,
6742,01.04.21 klo 01.33.22 ap.,-3.885,95.775,,,,,,
6743,01.04.21 klo 02.03.22 ap.,-3.671,95.458,,,,,,
6744,01.04.21 klo 02.33.22 ap.,-4.872,97.363,,,,,,
6745,01.04.21 klo 03.03.22 ap.,-5.430,97.167,,,,,,
6746,01.04.21 klo 03.33.22 ap.,-5.515,96.190,,,,,,
6747,01.04.21 klo 04.03.22 ap.,-5.687,95.678,,,,,,
6748,01.04.21 klo 04.33.22 ap.,-4.700,98.584,,,,,,
6749,01.04.21 klo 05.03.22 ap.,-3.542,96.825,,,,,,
6750,01.04.21 klo 05.33.22 ap.,-3.628,97.582,,,,,,
6751,01.04.21 klo 06.03.22 ap.,-4.014,98.364,,,,,,
6752,01.04.21 klo 06.33.22 ap.,-2.341,91.893,,,,,,
6753,01.04.21 klo 07.03.22 ap.,-2.813,90.354,,,,,,
6754,01.04.21 klo 07.33.22 ap.,-2.641,88.254,,,,,,
6755,01.04.21 klo 08.03.22 ap.,-2.512,87.009,,,,,,
6756,01.04.21 klo 08.33.22 ap.,-2.598,87.473,,,,,,
6757,01.04.21 klo 09.03.22 ap.,-2.899,84.835,,,,,,
6758,01.04.21 klo 09.33.22 ap.,-2.684,83.199,,,,,,
6759,01.04.21 klo 10.03.22 ap.,-2.512,80.611,,,,,,
6760,01.04.21 klo 10.33.22 ap.,-3.156,82.662,,,,,,
6761,01.04.21 klo 11.03.22 ap.,-3.027,81.856,,,,,,
6762,01.04.21 klo 11.33.22 ap.,-1.140,75.043,,,,,,
6763,01.04.21 klo 12.03.22 ip.,-0.496,72.063,,,,,,
6764,01.04.21 klo 12.33.22 ip.,0.019,73.748,,,,,,
6765,01.04.21 klo 01.03.22 ip.,1.434,68.474,,,,,,
6766,01.04.21 klo 01.33.22 ip.,3.579,59.487,,,,,,
6767,01.04.21 klo 02.03.22 ip.,2.721,62.027,,,,,,
6768,01.04.21 klo 02.33.22 ip.,3.236,56.239,,,,,,
6769,01.04.21 klo 03.03.22 ip.,2.550,60.440,,,,,,
6770,01.04.21 klo 03.33.22 ip.,3.365,57.753,,,,,,
6771,01.04.21 klo 04.03.22 ip.,3.794,57.118,,,,,,
6772,01.04.21 klo 04.33.22 ip.,4.824,53.114,,,,,,
6773,01.04.21 klo 05.03.22 ip.,5.295,56.801,,,,,,
6774,01.04.21 klo 05.33.22 ip.,3.108,65.226,,,,,,
6775,01.04.21 klo 06.03.22 ip.,1.778,70.989,,,,,,
6776,01.04.21 klo 06.33.22 ip.,2.636,67.204,,,,,,
6777,01.04.21 klo 07.03.22 ip.,1.692,71.331,,,,,,
6778,01.04.21 klo 07.33.22 ip.,1.692,71.575,,,,,,
6779,01.04.21 klo 08.03.22 ip.,0.190,75.116,,,,,,
6780,01.04.21 klo 08.33.22 ip.,-0.796,79.829,,,,,,
6781,01.04.21 klo 09.03.22 ip.,-1.225,81.221,,,,,,
6782,01.04.21 klo 09.33.22 ip.,-1.654,85.690,,,,,,
6783,01.04.21 klo 10.03.22 ip.,-1.697,87.717,,,,,,
6784,01.04.21 klo 10.33.22 ip.,-1.783,92.601,,,,,,
6785,01.04.21 klo 11.03.22 ip.,-1.526,94.188,,,,,,
6786,01.04.21 klo 11.33.22 ip.,-1.740,91.355,,,,,,
6787,01.05.21 klo 12.03.22 ap.,-1.783,90.794,,,,,,
6788,01.05.21 klo 12.33.22 ap.,-2.126,90.696,,,,,,
6789,01.05.21 klo 01.03.22 ap.,-2.083,88.498,,,,,,
6790,01.05.21 klo 01.33.22 ap.,-2.427,90.916,,,,,,
6791,01.05.21 klo 02.03.22 ap.,-2.512,88.547,,,,,,
6792,01.05.21 klo 02.33.22 ap.,-3.328,91.600,,,,,,
6793,01.05.21 klo 03.03.22 ap.,-3.242,87.302,,,,,,
6794,01.05.21 klo 03.33.22 ap.,-3.499,83.956,,,,,,
6795,01.05.21 klo 04.03.22 ap.,-3.628,88.791,,,,,,
6796,01.05.21 klo 04.33.22 ap.,-3.585,85.031,,,,,,
6797,01.05.21 klo 05.03.22 ap.,-3.542,83.639,,,,,,
6798,01.05.21 klo 05.33.22 ap.,-3.628,80.269,,,,,,
6799,01.05.21 klo 06.03.22 ap.,-4.100,83.053,,,,,,
6800,01.05.21 klo 06.33.22 ap.,-4.228,83.370,,,,,,
6801,01.05.21 klo 07.03.22 ap.,-3.842,79.902,,,,,,
6802,01.05.21 klo 07.33.22 ap.,-4.228,82.295,,,,,,
6803,01.05.21 klo 08.03.22 ap.,-4.314,83.370,,,,,,
6804,01.05.21 klo 08.33.22 ap.,-4.443,83.614,,,,,,
6805,01.05.21 klo 09.03.22 ap.,-3.714,81.172,,,,,,
6806,01.05.21 klo 09.33.22 ap.,-3.328,80.733,,,,,,
6807,01.05.21 klo 10.03.22 ap.,-2.512,77.827,,,,,,
6808,01.05.21 klo 10.33.22 ap.,-1.569,70.672,,,,,,
6809,01.05.21 klo 11.03.22 ap.,0.705,64.225,,,,,,
6810,01.05.21 klo 11.33.22 ap.,0.705,60.317,,,,,,
6811,01.05.21 klo 12.03.22 ip.,-0.410,64.322,,,,,,
6812,01.05.21 klo 12.33.22 ip.,0.062,60.879,,,,,,
6813,01.05.21 klo 01.03.22 ip.,-0.282,63.419,,,,,,
6814,01.05.21 klo 01.33.22 ip.,1.091,57.192,,,,,,
6815,01.05.21 klo 02.03.22 ip.,-0.067,63.248,,,,,,
6816,01.05.21 klo 02.33.22 ip.,0.147,65.690,,,,,,
6817,01.05.21 klo 03.03.22 ip.,-0.282,69.035,,,,,,
6818,01.05.21 klo 03.33.22 ip.,-0.067,73.260,,,,,,
6819,01.05.21 klo 04.03.22 ip.,1.306,67.155,,,,,,
6820,01.05.21 klo 04.33.22 ip.,0.877,70.525,,,,,,
6821,01.05.21 klo 05.03.22 ip.,1.649,67.643,,,,,,
6822,01.05.21 klo 05.33.22 ip.,1.220,70.965,,,,,,
6823,01.05.21 klo 06.03.22 ip.,2.550,65.641,,,,,,
6824,01.05.21 klo 06.33.22 ip.,1.391,74.042,,,,,,
6825,01.05.21 klo 07.03.22 ip.,1.692,72.698,,,,,,
6826,01.05.21 klo 07.33.22 ip.,1.220,76.264,,,,,,
6827,01.05.21 klo 08.03.22 ip.,0.920,78.291,,,,,,
6828,01.05.21 klo 08.33.22 ip.,0.576,82.198,,,,,,
6829,01.05.21 klo 09.03.22 ip.,0.147,85.153,,,,,,
6830,01.05.21 klo 09.33.22 ip.,-0.325,91.429,,,,,,
6831,01.05.21 klo 10.03.22 ip.,-0.839,96.093,,,,,,
6832,01.05.21 klo 10.33.22 ip.,-1.097,97.509,,,,,,
6833,01.05.21 klo 11.03.22 ip.,-0.968,96.239,,,,,,
6834,01.05.21 klo 11.33.22 ip.,-0.796,95.189,,,,,,
6835,01.06.21 klo 12.03.22 ap.,-0.625,93.504,,,,,,
6836,01.06.21 klo 12.33.22 ap.,-0.711,94.359,,,,,,
6837,01.06.21 klo 01.03.22 ap.,-0.882,96.679,,,,,,
6838,01.06.21 klo 01.33.22 ap.,-1.097,98.901,,,,,,
6839,01.06.21 klo 02.03.22 ap.,-1.311,99.341,,,,,,
6840,01.06.21 klo 02.33.22 ap.,-1.826,98.706,,,,,,
6841,01.06.21 klo 03.03.22 ap.,-2.341,95.482,,,,,,
6842,01.06.21 klo 03.33.22 ap.,-2.598,98.291,,,,,,
6843,01.06.21 klo 04.03.22 ap.,-2.941,94.115,,,,,,
6844,01.06.21 klo 04.33.22 ap.,-3.370,97.265,,,,,,
6845,01.06.21 klo 05.03.22 ap.,-3.499,98.755,,,,,,
6846,01.06.21 klo 05.33.22 ap.,-3.885,97.875,,,,,,
6847,01.06.21 klo 06.03.22 ap.,-4.100,97.900,,,,,,
6848,01.06.21 klo 06.33.22 ap.,-4.228,97.802,,,,,,
6849,01.06.21 klo 07.03.22 ap.,-5.473,95.946,,,,,,
6850,01.06.21 klo 07.33.22 ap.,-5.687,95.897,,,,,,
6851,01.06.21 klo 08.03.22 ap.,-5.558,95.604,,,,,,
6852,01.06.21 klo 08.33.22 ap.,-4.271,92.698,,,,,,
6853,01.06.21 klo 09.03.22 ap.,-4.529,93.651,,,,,,
6854,01.06.21 klo 09.33.22 ap.,-3.499,87.619,,,,,,
6855,01.06.21 klo 10.03.22 ap.,-3.156,87.131,,,,,,
6856,01.06.21 klo 10.33.22 ap.,-3.671,90.916,,,,,,
6857,01.06.21 klo 11.03.22 ap.,-3.542,92.308,,,,,,
6858,01.06.21 klo 11.33.22 ap.,-2.813,91.551,,,,,,
6859,01.06.21 klo 12.03.22 ip.,-1.397,85.958,,,,,,
6860,01.06.21 klo 12.33.22 ip.,1.220,82.735,,,,,,
6861,01.06.21 klo 01.03.22 ip.,1.863,79.365,,,,,,
6862,01.06.21 klo 01.33.22 ip.,3.794,71.282,,,,,,
6863,01.06.21 klo 02.03.22 ip.,3.150,72.650,,,,,,
6864,01.06.21 klo 02.33.22 ip.,4.051,67.326,,,,,,
6865,01.06.21 klo 03.03.22 ip.,3.665,64.029,,,,,,
6866,01.06.21 klo 03.33.22 ip.,4.395,57.265,,,,,,
6867,01.06.21 klo 04.03.22 ip.,6.926,43.785,,,,,,
6868,01.06.21 klo 04.33.22 ip.,1.992,62.393,,,,,,
6869,01.06.21 klo 05.03.22 ip.,1.349,63.541,,,,,,
6870,01.06.21 klo 05.33.22 ip.,0.662,64.957,,,,,,
6871,01.06.21 klo 06.03.22 ip.,-0.968,71.013,,,,,,
6872,01.06.21 klo 06.33.22 ip.,-1.011,70.623,,,,,,
6873,01.06.21 klo 07.03.22 ip.,-1.397,72.405,,,,,,
6874,01.06.21 klo 07.33.22 ip.,-2.126,71.746,,,,,,
6875,01.06.21 klo 08.03.22 ip.,-0.796,66.618,,,,,,
6876,01.06.21 klo 08.33.22 ip.,-3.799,74.017,,,,,,
6877,01.06.21 klo 09.03.22 ip.,-4.829,77.363,,,,,,
6878,01.06.21 klo 09.33.22 ip.,-4.400,74.286,,,,,,
