"Plot Title:  20849260"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849260, SEN S/N: 20849260, LBL: AT)","RH, % (LGR S/N: 20849260, SEN S/N: 20849260, LBL: RH)","Coupler Detached (LGR S/N: 20849260)","Bad Battery (LGR S/N: 20849260)","Coupler Attached (LGR S/N: 20849260)","Host Connected (LGR S/N: 20849260)","Stopped (LGR S/N: 20849260)","End Of File (LGR S/N: 20849260)"
228,07.25.20 klo 05.30.00 ap.,21.211,47.961,,,,,,
229,07.25.20 klo 06.00.00 ap.,21.169,48.010,,,,,,
230,07.25.20 klo 06.30.00 ap.,21.211,48.034,,,,,,
231,07.25.20 klo 07.00.00 ap.,21.211,48.083,,,,,,
232,07.25.20 klo 07.30.00 ap.,21.254,48.107,,,,,,
233,07.25.20 klo 08.00.00 ap.,21.254,48.156,,,,,,
234,07.25.20 klo 08.30.00 ap.,21.254,48.205,,,,,,
235,07.25.20 klo 09.00.00 ap.,21.211,48.205,,,,,,
236,07.25.20 klo 09.30.00 ap.,21.254,48.278,,,,,,
237,07.25.20 klo 10.00.00 ap.,21.254,48.278,,,,,,
238,07.25.20 klo 10.30.00 ap.,21.254,48.352,,,,,,
239,07.25.20 klo 11.00.00 ap.,21.254,48.376,,,,,,
240,07.25.20 klo 11.30.00 ap.,21.254,48.400,,,,,,
241,07.25.20 klo 12.00.00 ip.,21.254,48.400,,,,,,
242,07.25.20 klo 12.30.00 ip.,21.211,48.449,,,,,,
243,07.25.20 klo 01.00.00 ip.,21.211,48.449,,,,,,
244,07.25.20 klo 01.30.00 ip.,21.211,48.449,,,,,,
245,07.25.20 klo 02.00.00 ip.,21.211,48.523,,,,,,
246,07.25.20 klo 02.30.00 ip.,21.211,48.498,,,,,,
247,07.25.20 klo 03.00.00 ip.,21.211,48.474,,,,,,
248,07.25.20 klo 03.30.00 ip.,21.169,48.498,,,,,,
249,07.25.20 klo 04.00.00 ip.,21.169,48.498,,,,,,
250,07.25.20 klo 04.30.00 ip.,21.169,48.498,,,,,,
251,07.25.20 klo 05.00.00 ip.,21.126,48.474,,,,,,
252,07.25.20 klo 05.30.00 ip.,21.126,48.449,,,,,,
253,07.25.20 klo 06.00.00 ip.,21.169,48.400,,,,,,
254,07.25.20 klo 06.30.00 ip.,21.169,48.425,,,,,,
255,07.25.20 klo 07.00.00 ip.,21.083,48.400,,,,,,
256,07.25.20 klo 07.30.00 ip.,21.126,48.352,,,,,,
257,07.25.20 klo 08.00.00 ip.,21.169,48.400,,,,,,
258,07.25.20 klo 08.30.00 ip.,21.126,48.327,,,,,,
259,07.25.20 klo 09.00.00 ip.,21.083,48.327,,,,,,
260,07.25.20 klo 09.30.00 ip.,21.083,48.327,,,,,,
261,07.25.20 klo 10.00.00 ip.,21.126,48.327,,,,,,
262,07.25.20 klo 10.30.00 ip.,21.040,48.278,,,,,,
263,07.25.20 klo 11.00.00 ip.,21.083,48.278,,,,,,
264,07.25.20 klo 11.30.00 ip.,21.083,48.230,,,,,,
265,07.26.20 klo 12.00.00 ap.,21.083,48.181,,,,,,
266,07.26.20 klo 12.30.00 ap.,21.083,48.181,,,,,,
267,07.26.20 klo 01.00.00 ap.,21.083,48.132,,,,,,
268,07.26.20 klo 01.30.00 ap.,21.083,48.083,,,,,,
269,07.26.20 klo 02.00.00 ap.,21.040,48.059,,,,,,
270,07.26.20 klo 02.30.00 ap.,21.040,48.083,,,,,,
271,07.26.20 klo 03.00.00 ap.,21.083,48.083,,,,,,
272,07.26.20 klo 03.30.00 ap.,21.083,48.010,,,,,,
273,07.26.20 klo 04.00.00 ap.,21.126,47.985,,,,,,
274,07.26.20 klo 04.30.00 ap.,21.126,48.010,,,,,,
275,07.26.20 klo 05.00.00 ap.,21.083,47.985,,,,,,
276,07.26.20 klo 05.30.00 ap.,21.169,47.985,,,,,,
277,07.26.20 klo 06.00.00 ap.,21.126,47.985,,,,,,
278,07.26.20 klo 06.30.00 ap.,21.169,47.961,,,,,,
279,07.26.20 klo 07.00.00 ap.,21.126,47.912,,,,,,
280,07.26.20 klo 07.30.00 ap.,21.169,47.961,,,,,,
281,07.26.20 klo 08.00.00 ap.,21.169,47.937,,,,,,
282,07.26.20 klo 08.30.00 ap.,21.169,47.937,,,,,,
283,07.26.20 klo 09.00.00 ap.,21.169,47.961,,,,,,
284,07.26.20 klo 09.30.00 ap.,21.211,47.937,,,,,,
285,07.26.20 klo 10.00.00 ap.,21.169,47.937,,,,,,
286,07.26.20 klo 10.30.00 ap.,21.254,47.937,,,,,,
287,07.26.20 klo 11.00.00 ap.,21.254,47.937,,,,,,
288,07.26.20 klo 11.30.00 ap.,21.169,47.961,,,,,,
289,07.26.20 klo 12.00.00 ip.,21.254,47.961,,,,,,
