"Plot Title:  20864572"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864572, SEN S/N: 20864572)","RH, % (LGR S/N: 20864572, SEN S/N: 20864572)","Coupler Detached (LGR S/N: 20864572)","End Of File (LGR S/N: 20864572)"
243,08.14.20 klo 02.39.19 ip.,22.155,46.447,,
244,08.14.20 klo 03.09.19 ip.,22.155,46.545,,
245,08.14.20 klo 03.39.19 ip.,22.155,46.593,,
246,08.14.20 klo 04.09.19 ip.,22.155,46.593,,
247,08.14.20 klo 04.39.19 ip.,22.155,46.667,,
248,08.14.20 klo 05.09.19 ip.,22.155,46.618,,
249,08.14.20 klo 05.39.19 ip.,22.198,46.593,,
250,08.14.20 klo 06.09.19 ip.,22.155,46.569,,
251,08.14.20 klo 06.39.19 ip.,22.112,46.520,,
252,08.14.20 klo 07.09.19 ip.,22.069,46.447,,
253,08.14.20 klo 07.39.19 ip.,22.027,46.349,,
254,08.14.20 klo 08.09.19 ip.,22.327,42.515,,
255,08.14.20 klo 08.39.19 ip.,22.198,42.271,,
256,08.14.20 klo 09.09.19 ip.,22.198,42.589,,
257,08.14.20 klo 09.39.19 ip.,22.327,43.077,,
258,08.14.20 klo 10.09.19 ip.,22.327,43.321,,
259,08.14.20 klo 10.39.19 ip.,22.284,43.419,,
260,08.14.20 klo 11.09.19 ip.,22.370,43.785,,
261,08.14.20 klo 11.39.19 ip.,22.241,43.663,,
262,08.15.20 klo 12.09.19 ap.,22.198,43.370,,
263,08.15.20 klo 12.39.19 ap.,22.112,42.979,,
264,08.15.20 klo 01.09.19 ap.,22.112,42.637,,
265,08.15.20 klo 01.39.19 ap.,22.069,42.344,,
266,08.15.20 klo 02.09.19 ap.,22.027,42.125,,
267,08.15.20 klo 02.39.19 ap.,22.069,41.929,,
268,08.15.20 klo 03.09.19 ap.,22.027,41.783,,
269,08.15.20 klo 03.39.19 ap.,21.984,41.612,,
270,08.15.20 klo 04.09.19 ap.,21.984,41.514,,
271,08.15.20 klo 04.39.19 ap.,21.984,41.343,,
272,08.15.20 klo 05.09.19 ap.,21.941,41.270,,
273,08.15.20 klo 05.39.19 ap.,21.941,41.172,,
274,08.15.20 klo 06.09.19 ap.,21.941,41.099,,
275,08.15.20 klo 06.39.19 ap.,21.984,41.050,,
276,08.15.20 klo 07.09.19 ap.,21.984,41.001,,
277,08.15.20 klo 07.39.19 ap.,22.027,41.538,,
278,08.15.20 klo 08.09.19 ap.,22.112,42.735,,
279,08.15.20 klo 08.39.19 ap.,22.112,42.784,,
280,08.15.20 klo 09.09.19 ap.,22.155,42.418,,
281,08.15.20 klo 09.39.19 ap.,22.155,42.076,,
282,08.15.20 klo 10.09.19 ap.,22.198,41.709,,
283,08.15.20 klo 10.39.19 ap.,22.155,41.636,,
284,08.15.20 klo 11.09.19 ap.,22.155,41.490,,
285,08.15.20 klo 11.39.19 ap.,22.155,41.368,,
286,08.15.20 klo 12.09.19 ip.,22.284,41.368,,
287,08.15.20 klo 12.39.19 ip.,22.456,42.369,,
288,08.15.20 klo 01.09.19 ip.,22.498,42.271,,
289,08.15.20 klo 01.39.19 ip.,22.541,42.125,,
290,08.15.20 klo 02.09.19 ip.,22.670,41.783,,
291,08.15.20 klo 02.39.19 ip.,22.885,41.197,,
292,08.15.20 klo 03.09.19 ip.,23.228,39.951,,
293,08.15.20 klo 03.39.19 ip.,23.485,39.853,,
294,08.15.20 klo 04.09.19 ip.,23.528,39.267,,
295,08.15.20 klo 04.39.19 ip.,23.614,39.023,,
296,08.15.20 klo 05.09.19 ip.,23.657,38.852,,
297,08.15.20 klo 05.39.19 ip.,23.571,38.730,,
298,08.15.20 klo 06.09.19 ip.,23.314,39.023,,
299,08.15.20 klo 06.39.19 ip.,23.099,39.072,,
300,08.15.20 klo 07.09.19 ip.,23.185,38.681,,
301,08.15.20 klo 07.39.19 ip.,23.142,38.437,,
302,08.15.20 klo 08.09.19 ip.,23.185,39.683,,
303,08.15.20 klo 08.39.19 ip.,23.099,38.901,,
304,08.15.20 klo 09.09.19 ip.,23.056,38.877,,
305,08.15.20 klo 09.39.19 ip.,22.970,37.875,,
